NOB ORIGINAL	SME_Finland	komm	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU	
behandler	gieđahalli					käsittelijä	?			gieđahalli		
morgenstell	iđitdoaimmat					aamutoimet	iđitbassan	iđitbeaivválaš dikšun	iđitbeassan	iđitborran	Iđitguovssonástti	
morgenurin	iđitgužža					aamuvirtsa	iđitgužža	iđitbeaivve čáhci	iđitbeaivve čáhci	iđitborran	Iđitguovža	
abstraksjonsnivå	abstrakšuvdnadássi					abstraktiotaso	abstrakšuvdnadássi	abstrakšuvnna dássi	abstrakšuvnna dássi	abstrakšuvdnadássi	abstrakšuvdnadássi	
adaptasjon  	adaptašuvdna					adaptaatio		heiveheapmi	heiveheapmi	heiveheapmi	assimilašuvdna	
ADL-indeks	ADL-indeaksa					ADL-indeksi				ADL-indeaksa	ADL-indeaksa	
ADL-gjøremål          	ADL-doaimmat					ADL-toiminnot				ADL-bargu	ADL-doaimmat	
ADL-funksjon	ADL-doaibma					ADL-toiminto				ADL- funkšuvdna	ADL-doaibma	
adrenalin	adrenaliidna					adrenaliini		adrenaliidna	adrenaliidna	adrenaliinna	adrenaliidna	
angstlidelse	áŧestusdávda					ahdistuneisuushäiriö		fuolastuhttindávda	fuolastuhttindávda	áŧestusdávda	áŧestusdávda	
angstsymptom	áŧestussymptoma		áŧestusdávdamearka			ahdistusoire	áŧestussymptoma	fuolastumi dávdamearka	fuolastuhtti dávdamearka	áŧestussymptoma	áŧestusdávda	
snevring	baskkádat					ahtauma	kurouma	hedjonan	váttisvuohta	gáržžideapmi	áŧestus	baskkádat
obstruksjonsgrad	baskkádatdássi					ahtauman aste	baskkádaga #ráđđa	hehttehusa dássi	stenosa dássi	ceahkkálas standárda	geahnohis dássi	
aids	AIDS					AIDS		AIDS	AIDS	aids	AIDS	
tidsorientering	áigeorienteren					aikaan orientoituminen	áigái 	áigeorienteren	orienteren áigái	áigeáddejupmi	áiggi orientearašuvdna	
tidspress 	áigedeaddu 		áigepreassa			aikapaine	áigedeaddu	áigepreassa	áigepreassa	deaddu áiggis	deaddu áiggis	
tidsdimensjon	áigedimenšuvdna					aikaulottuvuus	áigeolli	áigedimenšuvdna	áigedimenšuvdna	áigedimenšuvdna	áigedimenšuvdna	
metabolisme	metabolisma					aineenvaihdunta; metabolia	metabolia	metabolisma	metabolisma	metabolisma	ávnnaslotnolasvuohta	#ávnnasmolsašuvvan
stoffomsetning	seallaávnnasmolsašuvvan					soluaineenvaihdunta	#ávnnasmolsašuvvan	metabolisma	metabolisma	ávnnasjohtu	ávnnaslotnolasvuohta	
stoffskifte	ávnnasmolsašuvvan					aineenvaihdunta; metabolia						
stoffskifteprosess	ávnnasmolsašuvvanproseassa					aineenvaihduntaprosessi	#ávnnasmolsašuvvanproseassa	metabolalaš proseassa	metabolalaš proseassa	ávnnasmolsašuddama proseassa	ávnnasmolsašuddanproseassa	
stoffskiftesykdom	ávnnasmolsašuvvandávda		ávnnasmolsašuvvanbuozalmasvuohta			aineenvaihduntasairaus		metabolalaš dávda	metabolalaš dávda	ávnnasmolsudandávda	metabolihkalaš buozalmasvuohta	
sansning	áican					aistiminen	tuntemus	dovdu	dovdu	vuohttimis	dovdamuš	
sansehage	áiccugárdi					aistipuutarha	dovddagárdin	áddejupmegárdi	áddejupmegárdi	áiccangárdi	áiccangárdi	
hjernebølge	vuoiŋŋašbárru					aivoaalto	vuoiŋŋašbárru	oaiveskálžžu doaibma	oaiveskálžžu doaimmat	vuoiŋŋašbávččas	vuoiŋŋašváldin	
hjerneaktivitet	vuoiŋŋašaktivitehta					aivoaktiviteetti	vuoiŋŋašbuđaldeapmi	oaiveskálžžu bealli	oaiveskálžžu bealli	vuoiŋŋamaččaid aktivitehta	vuoiŋŋašaktivitehta	
