adaptere	V	sopeutua jhk            ???
adle	V	aateloida
affisere	V	liikuttaa   koskea  vaikuttaa jhk
agitere	V	kiihottaa       yllyttää    agitoida
akkumulere	V	kerätä  kartuttaa   varata
aktualisere	V	ajankohtaistaa  aktualisoida
alarmere	V	hälyttää
ale	V	kasvattaa
anfalle	V	hyökätä
anspenne	V	jännittää   pingottaa
anspore	V	kannustaa   kiihottaa   elähdyttää
anvende	V	käyttää
applisere	V	laittaa jhk levittää jhk
arte	V	osoittautua jksk    kehittyä jksk
atskille	V	erottaa
autorisere	V	valtuuttaa
avfeie	V	torjua
avfinne	V	mukautua jhk    alistua jhk
avhenge	V	riippua jstk
avhjelpe	V	auttaa  lievittää korjata
avkrefte	V	kieltää         ???
avmagre	V	laihtua
avmerke	V	merkitä
avpasse	V	sovittaa    mukauttaa
avskjerme	V	suojata
bale	V	ponnistella uurastaa
befinne	V	olla    sijaita jaksaa
befordre	V	kuljettaa   rahdata edistää
begå	V	tehdä
belegge	V	peittää varata
bene	V	                ???
benevne	V	nimittää jksk
berette	V	kertoa
bero	V	riippua johtua  jättää lepäämään
bestjele	V	varastaa
bestrebe	V	pyrkiä tekemään jtk
besvare	V	vastata jhk
beta	V	ottaa   viedä vallata
betinge	V	edellyttää  ehdollistaa
betro	V	uskoa   uskoutua
bevisstgjøre	V	tehdä tietoiseksi
bistå	V	auttaa
blenke	V	vilkkua         ???
blinde	V	sokaista
blokkere	V	saartaa sulkea  tukkia
bløtgjøre	V	pehmittää   ??? liottaa???
bokstavere	V	tavata (sanoja)
bombardere	V	pommittaa
bone	V   vahata  kiillottaa
bortsette	V	            ???
brennemerkke    V   ???
bråne	V	sulaa
bunne	V	johtua  pohjautua       ???
debutere	V	esiintyä ensi kertaa    debytoida
deprimere	V	masentaa
designe	V	            ???
desorientere	V	hämmentää   johtaa harhaan      ???
detaljere	V	            ???
dimme	V	himmentää   vaihtaa lähivaloille
diskvalifisere	V	julistaa kilpailukelvottomaksi   diskvalifioida  diskata
distansere	V	jättää taakseen voittaa sanoutua irti
distrahere	V	häiritä tehdä hajamieliseksi
drasjere	V	päällystää
drifte	V	pitää toiminnassa   käyttää     ???
dunke	V	jyskyttää   pamppailla  jysäyttää
dyppe	V	kasvattaakostuttaa  dipata
egge	V	yllyttää
eksemplifisere	V	    kiihottaa
eksponere	V	altistaa    valottaa  
ense	V	välittää    piitata jstk
erindre	V	mutkistaa   muistella
erverve	V	hankkia saada
ese	V	paisua  käydä
eskalere	V	eskaloitua  laajentua   kiihtyä
estimere	V	arvioida
etterleve	V	noudattaa jtk
etterprøve	V	todentaa    vahvistaa   todistaa oikeaksi   ???
fallere	V	mennä vararikkoon   epäonnistua rappeutua
fastholde	V	pitäytyä jossakin   pitää kiinni jstk   ???
fatte	V	käsittää    saada ote tehdä (päätös)
feile	V	vioittua    epäonnistua (sanonnassa) vaivata
ferdigbehandle	V   viimeistellä    käsitellä valmiiksi  hoitaa potilas valmiiksi
findele	V	hienontaa
finjustere	V	hienosäätää
flektere	V	(kielitiet.) taivuttaa
flukte	V	olla samassa linjassa   (sairaus) riehua kehossa
fluktuere	V	vaihdella   heittelehtiä heilahdella
flyge	V	lentää
foliere	V	päällystää  laittaa pinnoille jtk
forbeholde	V	pidättää    varata
fordre	V	vaatia  kuljettaa malmia
foreligge	V	olla (esillä)
forespørre	V	tiedustella kysyä
foreta	V	tehdä
forfatte	V	kirjoittaa  laatia
forflytte	V	siirtää
forholde	V	suhtautua
forhåndsbestille	V	tilata ennakkoon
forløpe	V	sujua   (ajasta) kulua  -seg erehtyä
fornøye	V	huvittaa    huvitella
forordne	V	määrätä säätää
forplante	V	-seg levitä
forrette	V	toimittaa   suorittaa
forskyve	V	siirtää -seg siirtyä
forsone	V	sovittaa päästä sovintoon   -seg med alistua/hyväksyä
forvenne	V	hemmotella  paapoa
forvisse	V	-seg om noe varmistua jstk
framkalle	V	tuoda esiin aiheuttaa   kehittää (filmi)
framkomme	V	tulla esiin     ???
framprovosere	V	aiheuttaa jtk
framsette	V	esittää (vaatimus) - krav     tuoda esiin
framstå	V	 näyttää jltk   astua esiin               ???
frastøte	V	hylkiä  työntää luotaan herättää jssk vastenmielisyyttä
fritte	V	udella
fronte	V	edustaa jtk olla jnk asian etukärjessä vastustaa
fryde	V	riemastuttaa    - seg iloita
funke	V	toimia
funksjonere	V	toimia
gasse	V	kaasuttaa   mässäillä   
geberde	V	- seg elehtiä
gjenfinne	V	saada takaisin  kierrättää    ottaa uusiokäyttöön
gjennomarbeide	V	tehdä huolella
gjennomleve	V	käydä läpi  kokea
gjennomsyre	V	leimata voimakkaasti jtk
gjennomtenke	V	ajatella tarkaan    ???
gjenopprette	V	palauttaa   muodostaa uudelleen korjata
gjenoppta	V	aloittaa uudelleenottaa uudelleen esille
gjenskape	V	luoda   herättää
gjenstå	V	olla jäljellä
gjenvinne	V	saada takaisin  kierrättää  ottaa uusiokäyttöön
glire	V	siristää silmiä
